frame,pose_detected,shoulder_x,shoulder_y,elbow_x,elbow_y,wrist_x,wrist_y,hip_x,hip_y,knee_x,knee_y
0,1,0.15937942266464233,0.3446498513221741,0.3212542235851288,0.428837388753891,0.5196824073791504,0.44916000962257385,0.18862271308898926,0.5478612184524536,0.49640896916389465,0.5568694472312927
1,1,0.16246171295642853,0.3449089527130127,0.318603515625,0.42868340015411377,0.519603967666626,0.4497542381286621,0.1915191113948822,0.5485503673553467,0.4966591000556946,0.5573869347572327
2,1,0.16467814147472382,0.3449908196926117,0.3172101676464081,0.4286815822124481,0.5196598768234253,0.45044463872909546,0.19475406408309937,0.5492317080497742,0.49820423126220703,0.558251678943634
3,1,0.16472144424915314,0.34501782059669495,0.31447917222976685,0.4284180700778961,0.5195527076721191,0.45079904794692993,0.19753846526145935,0.5492322444915771,0.49876371026039124,0.5593206882476807
4,1,0.16468043625354767,0.3450677990913391,0.3142576515674591,0.4284173548221588,0.5195519924163818,0.4510004222393036,0.19770444929599762,0.5494018197059631,0.49870187044143677,0.5594688653945923
5,1,0.16362755000591278,0.34528815746307373,0.3128351867198944,0.4285360276699066,0.5163799524307251,0.4514526426792145,0.1974973976612091,0.5498087406158447,0.49782612919807434,0.5602331161499023
6,1,0.15876294672489166,0.3458722233772278,0.3112676739692688,0.42954403162002563,0.5128457546234131,0.4516899883747101,0.19691112637519836,0.5503484010696411,0.496643602848053,0.5604545474052429
7,1,0.15368859469890594,0.3465062379837036,0.307986319065094,0.4330931603908539,0.5062068700790405,0.451696515083313,0.19490964710712433,0.5506585836410522,0.4963117837905884,0.5605126619338989
8,1,0.14987356960773468,0.3472859263420105,0.3004668951034546,0.43672195076942444,0.4963069260120392,0.45169222354888916,0.19251395761966705,0.5509770512580872,0.49522989988327026,0.5602543950080872
9,1,0.1471349596977234,0.3477732837200165,0.2873864769935608,0.44018104672431946,0.47498369216918945,0.4517335593700409,0.1883489191532135,0.5512515306472778,0.49346718192100525,0.5602681636810303
10,1,0.13971124589443207,0.3478655517101288,0.2700243294239044,0.44173169136047363,0.45398181676864624,0.4518451690673828,0.18398483097553253,0.5513137578964233,0.4905261695384979,0.5602619051933289
11,1,0.13474635779857635,0.3486657440662384,0.252925843000412,0.4456835091114044,0.44381454586982727,0.45214492082595825,0.1836063414812088,0.5521636009216309,0.48993340134620667,0.5602986812591553
12,1,0.13008947670459747,0.3490282893180847,0.23516269028186798,0.4494174122810364,0.42266789078712463,0.4523232579231262,0.18399301171302795,0.553317129611969,0.48991239070892334,0.5603053569793701
13,1,0.12494030594825745,0.3494775593280792,0.21825367212295532,0.453246533870697,0.41271671652793884,0.45234301686286926,0.18422847986221313,0.554677426815033,0.48984578251838684,0.5600659251213074
14,1,0.11653915792703629,0.34951022267341614,0.1972254067659378,0.454706072807312,0.38679108023643494,0.4532868266105652,0.18604826927185059,0.5548962354660034,0.4898877739906311,0.560062825679779
15,1,0.1058759018778801,0.34983623027801514,0.17664383351802826,0.4562138617038727,0.36891594529151917,0.4532945156097412,0.18677565455436707,0.5547893643379211,0.49016934633255005,0.5599737167358398
16,1,0.09202304482460022,0.3498501181602478,0.1575876772403717,0.4589213728904724,0.3515251576900482,0.45351481437683105,0.1868211179971695,0.5544530153274536,0.49114540219306946,0.5584697127342224
17,1,0.09120989590883255,0.3506501615047455,0.14644697308540344,0.4626578986644745,0.34336745738983154,0.45330625772476196,0.1863384246826172,0.5543413162231445,0.4906125068664551,0.557305634021759
18,1,0.09000685811042786,0.3512171506881714,0.1291000247001648,0.46533331274986267,0.33544254302978516,0.4530436098575592,0.1874689906835556,0.55278080701828,0.49096667766571045,0.5553150177001953
19,1,0.08739887177944183,0.35174062848091125,0.11666564643383026,0.46781978011131287,0.3209494352340698,0.45364513993263245,0.18748365342617035,0.5526546835899353,0.4913643002510071,0.554086446762085
20,1,0.08602224290370941,0.35276105999946594,0.10412035882472992,0.46892186999320984,0.3104804754257202,0.453795850276947,0.18827134370803833,0.5518231391906738,0.4913843870162964,0.5532094240188599
21,1,0.08326315134763718,0.3535127341747284,0.08550575375556946,0.4689846336841583,0.293545126914978,0.45411190390586853,0.1881992369890213,0.5517244338989258,0.4908730089664459,0.5513965487480164
22,1,0.081016905605793,0.35351434350013733,0.05837904289364815,0.4691654443740845,0.26737821102142334,0.4557095170021057,0.18821436166763306,0.5513572096824646,0.4900987446308136,0.5502951145172119
23,1,0.07959499210119247,0.3535284101963043,0.04498109966516495,0.4693410396575928,0.25102031230926514,0.4564644396305084,0.18854562938213348,0.5514835715293884,0.49001485109329224,0.5501583814620972
24,1,0.08028499782085419,0.3535040616989136,0.030654074624180794,0.4689091145992279,0.23996156454086304,0.4574224352836609,0.19038914144039154,0.5515543222427368,0.49108824133872986,0.5503448843955994
25,1,0.07843095809221268,0.3534946143627167,0.022432712838053703,0.4698405861854553,0.2283252775669098,0.45851632952690125,0.19374753534793854,0.5512294173240662,0.49487367272377014,0.5504893660545349
26,1,0.07417044043540955,0.3536141812801361,0.01983553357422352,0.47228726744651794,0.2252412885427475,0.45935070514678955,0.19367772340774536,0.5512495636940002,0.49461525678634644,0.550270676612854
27,1,0.07257960736751556,0.35457924008369446,0.0175566878169775,0.4750692546367645,0.2230444997549057,0.46168574690818787,0.1934867799282074,0.5513167977333069,0.4936198592185974,0.5490065813064575
